player_id,player_name,team,season,week,position,fantasy_points_ppr,targets,receptions,receiving_yards,receiving_tds,games,snap_share,route_participation,target_share,air_yard_share
00-0034487,T.Sherfield,MIA,2022,16,WR,4.5,2,2,25.0,0,,,,,
00-0038104,T.Thornton,NE,2022,16,WR,1.8,3,1,8.0,0,,,,,
00-0036415,V.Jefferson,LA,2022,16,WR,4.9,5,3,19.0,0,,,,,
00-0037745,V.Jones,CHI,2022,16,WR,7.2,4,2,52.0,0,,,,,
00-0033891,Z.Jones,JAX,2022,16,WR,2.1,4,1,14.0,0,,,,,
00-0033251,Z.Pascal,PHI,2022,16,WR,1.6,1,1,6.0,0,,,,,
00-0035876,A.Baccellia,ARI,2022,17,WR,1.7000000000000002,2,1,7.0,0,,,,,
00-0035676,A.Brown,PHI,2022,17,WR,19.700000000000003,9,4,97.0,1,,,,,
00-0031544,A.Cooper,CLE,2022,17,WR,25.5,4,3,105.0,2,,,,,
00-0027942,A.Green,ARI,2022,17,WR,3.7,2,2,17.0,0,,,,,
00-0035527,A.Isabella,BAL,2022,17,WR,0.1,0,0,0.0,0,,,,,
00-0034521,A.Lazard,GB,2022,17,WR,10.9,6,5,59.0,0,,,,,
00-0037664,A.Pierce,IND,2022,17,WR,4.5,5,3,15.0,0,,,,,
00-0036991,A.Rodgers,HOU,2022,17,WR,3.6,2,2,12.0,0,,,,,
00-0036963,A.St. Brown,DET,2022,17,WR,10.2,5,4,62.0,0,,,,,
00-0030035,A.Thielen,MIN,2022,17,WR,2.6,4,1,16.0,0,,,,,
00-0036261,B.Aiyuk,SF,2022,17,WR,26.700000000000003,12,9,101.0,1,,,,,
00-0034419,B.Berrios,NYJ,2022,17,WR,3.4000000000000004,1,1,24.0,0,,,,,
00-0031236,B.Cooks,HOU,2022,17,WR,7.9,7,4,39.0,0,,,,,
00-0034646,B.Powell,LA,2022,17,WR,1.9,2,1,3.0,0,,,,,
00-0034297,B.Pringle,CHI,2022,17,WR,0.0,4,0,0.0,0,,,,,
00-0036326,C.Claypool,CHI,2022,17,WR,0.0,1,0,0.0,0,,,,,
00-0033871,C.Davis,NYJ,2022,17,WR,7.5,6,3,45.0,0,,,,,
00-0033921,C.Godwin,TB,2022,17,WR,21.0,9,9,120.0,0,,,,,
00-0036810,C.Johnson,SEA,2022,17,WR,0.0,2,0,0.0,0,,,,,
00-0034775,C.Kirk,JAX,2022,17,WR,4.1,3,2,21.0,0,,,,,
00-0036358,C.Lamb,DAL,2022,17,WR,21.0,14,11,100.0,0,,,,,
00-0032398,C.Moore,HOU,2022,17,WR,5.1,5,3,21.0,0,,,,,
00-0037239,C.Olave,NO,2022,17,WR,8.2,5,4,42.0,0,,,,,
00-0033282,C.Samuel,WAS,2022,17,WR,1.6,2,1,6.0,0,,,,,
00-0034104,C.Sims,WAS,2022,17,WR,2.6,1,1,16.0,0,,,,,
00-0034348,C.Sutton,DEN,2022,17,WR,8.4,6,4,44.0,0,,,,,
00-0038124,C.Watson,GB,2022,17,WR,2.1,5,1,11.0,0,,,,,
00-0031381,D.Adams,LV,2022,17,WR,34.3,11,7,153.0,2,,,,,
00-0031868,D.Byrd,ATL,2022,17,WR,2.2,2,1,12.0,0,,,,,
00-0031763,D.Carter,LAC,2022,17,WR,3.4000000000000004,3,2,14.0,0,,,,,
00-0034777,D.Chark,DET,2022,17,WR,7.6000000000000005,4,2,56.0,0,,,,,
00-0037828,D.Gray,SF,2022,17,WR,0.9,0,0,0.0,0,,,,,
00-0026189,D.Jackson,BAL,2022,17,WR,1.9,2,1,9.0,0,,,,,
00-0035216,D.Johnson,PIT,2022,17,WR,5.5,7,2,35.0,0,,,,,
